
Alpha

~/ensino/private/E2/Alpha ~/ensino/private
Alpha |asl01 - OK - ""
Alpha |asl02 - OK - ""
Alpha |asl03 - OK - ""
Alpha |asl04 - OK - ""
Alpha |asl05 - OK - ""
Alpha |asl06 - OK - ""
Alpha |asl07 - OK - ""
Alpha |asl08 - OK - ""
Alpha |asl09 - OK - ""
Alpha |asl100 - OK - ""
Alpha |asl101 - OK - ""
Alpha |asl102 - OK - ""
Alpha |asl103 - OK - ""
Alpha |asl104 - OK - ""
Alpha |asl105 - OK - ""
Alpha |asl106 - OK - ""
Alpha |asl107 - OK - ""
Alpha |asl108 - OK - ""
Alpha |asl109 - OK - ""
Alpha |asl10 - OK - ""
Alpha |asl110 - OK - ""
Alpha |asl111 - OK - ""
Alpha |asl112 - OK - ""
Alpha |asl113 - OK - ""
Alpha |asl114 - OK - ""
Alpha |asl115 - OK - ""
Alpha |asl116 - OK - ""
Alpha |asl117 - OK - ""
Alpha |asl118 - OK - ""
Alpha |asl119 - OK - ""
Alpha |asl11 - OK - ""
Alpha |asl120 - OK - ""
Alpha |asl121 - OK - ""
Alpha |asl122 - OK - ""
Alpha |asl123 - OK - ""
Alpha |asl124 - OK - ""
Alpha |asl125 - OK - ""
Alpha |asl126 - OK - ""
Alpha |asl127 - OK - ""
Alpha |asl128 - OK - ""
Alpha |asl129 - OK - ""
Alpha |asl12 - OK - ""
Alpha |asl130 - OK - ""
Alpha |asl131 - OK - ""
Alpha |asl132 - OK - ""
Alpha |asl133 - OK - ""
Alpha |asl134 - OK - ""
Alpha |asl135 - OK - ""
Alpha |asl136 - OK - ""
Alpha |asl137 - OK - ""
Alpha |asl138 - OK - ""
Alpha |asl139 - OK - ""
Alpha |asl13 - OK - ""
Alpha |asl140 - OK - ""
Alpha |asl141 - OK - ""
Alpha |asl142 - OK - ""
Alpha |asl143 - OK - ""
Alpha |asl144 - OK - ""
Alpha |asl145 - OK - ""
Alpha |asl146 - OK - ""
Alpha |asl147 - OK - ""
Alpha |asl148 - OK - ""
Alpha |asl149 - OK - ""
Alpha |asl14 - OK - ""
Alpha |asl150 - NOK - ""
Alpha |asl15 - OK - ""
Alpha |asl16 - OK - ""
Alpha |asl17 - OK - ""
Alpha |asl18 - OK - ""
Alpha |asl19 - OK - ""
Alpha |asl20 - OK - ""
Alpha |asl21 - OK - ""
Alpha |asl22 - OK - ""
Alpha |asl23 - OK - ""
Alpha |asl24 - OK - ""
Alpha |asl25 - OK - ""
Alpha |asl26 - OK - ""
Alpha |asl27 - OK - ""
Alpha |asl28 - OK - ""
Alpha |asl29 - OK - ""
Alpha |asl30 - OK - ""
Alpha |asl31 - OK - ""
Alpha |asl32 - OK - ""
Alpha |asl33 - OK - ""
Alpha |asl34 - OK - ""
Alpha |asl35 - OK - ""
Alpha |asl36 - OK - ""
Alpha |asl37 - OK - ""
Alpha |asl38 - OK - ""
Alpha |asl39 - OK - ""
Alpha |asl40 - OK - ""
Alpha |asl41 - OK - ""
Alpha |asl42 - OK - ""
Alpha |asl43 - OK - ""
Alpha |asl44 - OK - ""
Alpha |asl45 - OK - ""
Alpha |asl46 - OK - ""
Alpha |asl47 - OK - ""
Alpha |asl48 - OK - ""
Alpha |asl49 - OK - ""
Alpha |asl50 - OK - ""
Alpha |asl51 - OK - ""
Alpha |asl52 - OK - ""
Alpha |asl53 - OK - ""
Alpha |asl54 - OK - ""
Alpha |asl55 - OK - ""
Alpha |asl56 - OK - ""
Alpha |asl57 - OK - ""
Alpha |asl58 - OK - ""
Alpha |asl59 - OK - ""
Alpha |asl60 - OK - ""
Alpha |asl61 - OK - ""
Alpha |asl62 - OK - ""
Alpha |asl63 - OK - ""
Alpha |asl64 - OK - ""
Alpha |asl65 - OK - ""
Alpha |asl66 - OK - ""
Alpha |asl67 - OK - ""
Alpha |asl68 - OK - ""
Alpha |asl69 - OK - ""
Alpha |asl70 - OK - ""
Alpha |asl71 - OK - ""
Alpha |asl72 - OK - ""
Alpha |asl73 - OK - ""
Alpha |asl74 - OK - ""
Alpha |asl75 - OK - ""
Alpha |asl76 - OK - ""
Alpha |asl77 - NOK - ""
Alpha |asl78 - OK - ""
Alpha |asl79 - OK - ""
Alpha |asl80 - OK - ""
Alpha |asl81 - OK - ""
Alpha |asl82 - OK - ""
Alpha |asl83 - OK - ""
Alpha |asl84 - OK - ""
Alpha |asl85 - OK - ""
Alpha |asl86 - OK - ""
Alpha |asl87 - OK - ""
Alpha |asl88 - OK - ""
Alpha |asl89 - OK - ""
Alpha |asl90 - OK - ""
Alpha |asl91 - OK - ""
Alpha |asl92 - OK - ""
Alpha |asl93 - OK - ""
Alpha |asl94 - OK - ""
Alpha |asl95 - OK - ""
Alpha |asl96 - OK - ""
Alpha |asl97 - OK - ""
Alpha |asl98 - OK - ""
Alpha |asl99 - OK - ""
~/ensino/private

Beta

~/ensino/private/E2/Beta ~/ensino/private
Beta |asl01 - NOK - ""
Beta |asl02 - NOK - ""
Beta |asl03 - NOK - ""
Beta |asl04 - NOK - ""
Beta |asl05 - NOK - ""
Beta |asl06 - NOK - ""
Beta |asl07 - NOK - ""
Beta |asl08 - NOK - ""
Beta |asl09 - OK - ""
Beta |asl100 - OK - ""
Beta |asl101 - OK - ""
Beta |asl102 - OK - ""
Beta |asl103 - OK - ""
Beta |asl104 - OK - ""
Beta |asl105 - OK - ""
Beta |asl106 - OK - ""
Beta |asl107 - OK - ""
Beta |asl108 - OK - ""
Beta |asl109 - OK - ""
Beta |asl10 - OK - ""
Beta |asl110 - OK - ""
Beta |asl111 - OK - ""
Beta |asl112 - OK - ""
Beta |asl113 - OK - ""
Beta |asl114 - OK - ""
Beta |asl115 - OK - ""
Beta |asl116 - OK - ""
Beta |asl117 - OK - ""
Beta |asl118 - OK - ""
Beta |asl119 - OK - ""
Beta |asl11 - OK - ""
Beta |asl120 - OK - ""
Beta |asl121 - OK - ""
Beta |asl122 - OK - ""
Beta |asl123 - OK - ""
Beta |asl124 - OK - ""
Beta |asl125 - OK - ""
Beta |asl126 - OK - ""
Beta |asl127 - OK - ""
Beta |asl128 - OK - ""
Beta |asl129 - NOK - ""
Beta |asl12 - OK - ""
Beta |asl130 - OK - ""
Beta |asl131 - OK - ""
Beta |asl132 - OK - ""
Beta |asl133 - OK - ""
Beta |asl134 - OK - ""
Beta |asl135 - OK - ""
Beta |asl136 - OK - ""
Beta |asl137 - OK - ""
Beta |asl138 - NOK - ""
Beta |asl139 - NOK - ""
Beta |asl13 - OK - ""
Beta |asl140 - NOK - ""
Beta |asl141 - NOK - ""
Beta |asl142 - NOK - ""
Beta |asl143 - NOK - ""
Beta |asl144 - NOK - ""
Beta |asl145 - NOK - ""
Beta |asl146 - NOK - ""
Beta |asl147 - NOK - ""
Beta |asl148 - NOK - ""
Beta |asl149 - NOK - ""
Beta |asl14 - OK - ""
Beta |asl150 - NOK - ""
Beta |asl15 - OK - ""
Beta |asl16 - OK - ""
Beta |asl17 - OK - ""
Beta |asl18 - OK - ""
Beta |asl19 - OK - ""
Beta |asl20 - OK - ""
Beta |asl21 - OK - ""
Beta |asl22 - OK - ""
Beta |asl23 - OK - ""
Beta |asl24 - OK - ""
Beta |asl25 - NOK - ""
Beta |asl26 - OK - ""
Beta |asl27 - NOK - ""
Beta |asl28 - NOK - ""
Beta |asl29 - OK - ""
Beta |asl30 - NOK - ""
Beta |asl31 - NOK - ""
Beta |asl32 - NOK - ""
Beta |asl33 - NOK - ""
Beta |asl34 - OK - ""
Beta |asl35 - NOK - ""
Beta |asl36 - NOK - ""
Beta |asl37 - NOK - ""
Beta |asl38 - NOK - ""
Beta |asl39 - NOK - ""
Beta |asl40 - OK - ""
Beta |asl41 - NOK - ""
Beta |asl42 - NOK - ""
Beta |asl43 - NOK - ""
Beta |asl44 - NOK - ""
Beta |asl45 - OK - ""
Beta |asl46 - NOK - ""
Beta |asl47 - NOK - ""
Beta |asl48 - NOK - ""
Beta |asl49 - OK - ""
Beta |asl50 - NOK - ""
Beta |asl51 - NOK - ""
Beta |asl52 - NOK - ""
Beta |asl53 - NOK - ""
Beta |asl54 - NOK - ""
Beta |asl55 - OK - ""
Beta |asl56 - NOK - ""
Beta |asl57 - NOK - ""
Beta |asl58 - NOK - ""
Beta |asl59 - NOK - ""
Beta |asl60 - NOK - ""
Beta |asl61 - OK - ""
Beta |asl62 - NOK - ""
Beta |asl63 - NOK - ""
Beta |asl64 - OK - ""
Beta |asl65 - NOK - ""
Beta |asl66 - NOK - ""
Beta |asl67 - OK - ""
Beta |asl68 - OK - ""
Beta |asl69 - OK - ""
Beta |asl70 - OK - ""
Beta |asl71 - OK - ""
Beta |asl72 - OK - ""
Beta |asl73 - OK - ""
Beta |asl74 - OK - ""
Beta |asl75 - OK - ""
Beta |asl76 - NOK - ""
Beta |asl77 - NOK - ""
Beta |asl78 - NOK - ""
Beta |asl79 - NOK - ""
Beta |asl80 - NOK - ""
Beta |asl81 - NOK - ""
Beta |asl82 - OK - ""
Beta |asl83 - OK - ""
Beta |asl84 - OK - ""
Beta |asl85 - OK - ""
Beta |asl86 - OK - ""
Beta |asl87 - OK - ""
Beta |asl88 - OK - ""
Beta |asl89 - OK - ""
Beta |asl90 - OK - ""
